City_ID,City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
295,Pontianak,ID,-0.0333,109.3333,73.38,100,100,3.44,overcast clouds
296,Port Hedland,AU,-20.3167,118.5667,85.12,69,93,11.16,overcast clouds
297,Swan River,CA,52.1058,-101.2676,-18.51,63,19,16.11,few clouds
298,Pisco,PE,-13.7,-76.2167,82.45,61,0,21.85,clear sky
299,Saint-François,FR,46.4154,3.9054,44.04,80,100,3.44,overcast clouds
300,Verkhnetulomskiy,RU,68.6073,31.7962,8.73,100,100,0.81,overcast clouds
301,Mitú,CO,1.1983,-70.1733,89.42,41,99,2.42,overcast clouds
302,Mayumba,GA,-3.432,10.6554,80.01,86,78,4.59,light rain
303,Chokurdakh,RU,70.6333,147.9167,-16.31,100,98,4.65,overcast clouds
304,Puerto Escondido,MX,15.85,-97.0667,85.03,70,20,10.36,few clouds
305,Dicabisagan,PH,17.0818,122.4157,74.91,88,92,5.95,overcast clouds
306,Ngunguru,NZ,-35.6167,174.5,69.44,95,100,13.35,overcast clouds
307,Bhan,PK,26.5583,67.7214,62.17,28,0,1.52,clear sky
308,Belle Fourche,US,44.6714,-103.8522,35.35,59,100,7.63,overcast clouds
309,Beyneu,KZ,45.3167,55.2,31.42,77,0,8.34,clear sky
310,Beringovskiy,RU,63.05,179.3167,9.72,95,100,12.26,overcast clouds
311,Kawalu,ID,-7.3817,108.2082,71.38,94,97,2.84,overcast clouds
312,Deputatsky,RU,69.3,139.9,-21.64,99,98,3.06,overcast clouds
313,Nabire,ID,-3.3667,135.4833,75.13,91,100,2.1,overcast clouds
314,Sungurlu,TR,40.1675,34.3739,28.36,93,100,3.89,light snow
315,Kieta,PG,-6.2167,155.6333,78.89,85,100,3.96,light rain
316,Chernogorsk,RU,53.8236,91.2842,-11.63,92,20,2.24,few clouds
317,Tabou,CI,4.423,-7.3528,80.1,84,5,7.43,clear sky
318,Filingué,NE,14.3521,3.3168,82.35,15,13,6.73,few clouds
319,Kontagora,NG,10.3999,5.4695,84.07,15,91,2.46,overcast clouds
320,Ciudad Bolivar,VE,8.1222,-63.5497,88.65,38,96,8.23,overcast clouds
321,Tonekābon,IR,36.8163,50.8738,48.15,59,100,5.12,overcast clouds
322,Luang Prabang,LA,19.8856,102.1347,64.08,58,20,1.25,few clouds
323,Zhigansk,RU,66.7697,123.3711,-27.71,97,100,8.52,overcast clouds
324,Flin Flon,CA,54.7682,-101.865,-16.76,52,0,8.05,clear sky
325,Guerrero Negro,MX,27.9769,-114.0611,66.92,35,25,5.14,scattered clouds
326,Karasuk,RU,53.7377,78.0403,-3.1,93,84,4.97,broken clouds
327,Turukhansk,RU,65.8167,87.9833,5.83,96,99,7.54,light snow
328,Shrīrangapattana,IN,12.4136,76.7042,70.3,58,100,8.66,overcast clouds
329,Elblag,PL,54.1522,19.4088,32.97,82,88,14.0,overcast clouds
330,Nuevo Progreso,MX,23.1667,-97.95,60.48,56,35,8.41,scattered clouds
331,Provincia di Imperia,IT,43.9667,7.7833,45.41,81,0,5.21,clear sky
332,Condado,CU,21.8767,-79.8403,87.01,44,0,8.86,clear sky
333,Along,IN,28.1667,94.7667,53.47,64,0,2.17,clear sky
334,Kruisfontein,ZA,-34.0033,24.7314,68.88,89,3,5.17,clear sky
335,Barcelos,PT,41.5388,-8.6151,52.68,70,0,4.52,clear sky
336,Haines Junction,CA,60.7522,-137.5108,4.95,85,100,1.14,overcast clouds
337,Manta,EC,-0.95,-80.7333,82.18,83,75,14.97,broken clouds
338,East London,ZA,-33.0153,27.9116,73.08,81,74,4.52,broken clouds
339,Honningsvåg,NO,70.9821,25.9704,28.15,86,100,8.05,light snow
340,Naze,JP,28.3667,129.4833,52.72,68,3,7.45,clear sky
341,Hanyang,CN,32.1371,105.5126,42.84,78,91,2.59,overcast clouds
342,Hualmay,PE,-11.0964,-77.6139,76.57,72,100,10.65,overcast clouds
343,Marigot,MF,18.0667,-63.0833,82.18,62,40,14.97,scattered clouds
